area,mean,std,count
Comercial / Atención al cliente,3.73,1.2,22
Gerencia / Administración,3.79,1.36,19
Operaciones,3.62,1.31,16
Otra,3.81,1.03,21
Tecnología / Sistemas,3.56,1.2,43
